_id,info/city,info/homeSize,info/homeType,info/block,info/parking,flatmatePreferences/gender,flatmatePreferences/pets,flatmatePreferences/smoking,flatmatePreferences/agemin,flatmatePreferences/agemax,description/bills,description/features,description/homeDescription,occupants/interests,occupants/about,occupants/gender,occupants/age,occupants/compatiblePeople,occupants/pets,occupants/smoking,bedroomInfo/dateAvailable,bedroomInfo/bedroomSize,bedroomInfo/features,bedroomInfo/rent,bedroomInfo/bedroomFurniture,bedroomInfo/otherInformation,bedroomInfo/bond,bedroomInfo/overnight,bedroomInfo/bills,occupants/petDescription
624994,Brisbane,4+ bedrooms,House,Griffin,No off-street parking,Females (str) && Males (str) && Females (gay/bi),Without a cat or dog,Non-smokers && Outdoors okay,18,-1,"Unlimited 100/40mbps connection in the house with wifi mesh system, which you're welcome to use.Electricity, gas and water also included.2 weeks Bond and 2 weeks rent in advance to be paid upon moving in.","Ceiling fans && Air-conditioning && Living area heating && Cable or satellite TV && Broadband Internet && Dishwasher && Clothes washer && Study or office && Balcony, patio or deck && Courtyard, garden or yard && BBQ facilities","Description of the home Beautiful near new 2 storey 5 bedroom house.Media room downstairs has a 60 inch tv, Dolby ATMOS sound system, nVidia shield, Netflix, Spotify etcFTTP is installed to the premises with unlimited 100/40mbps connection, there are multiple Wifi points throughout.You really have to check this place out!",Animals and pets && Art and culture && Cars or motorbikes && Computers or Internet && Cooking and food && Creative interests && Fashion && Movie goer && Music && Shopping && Socialising && Television && Travel,"Peter grew up in country NSW and moved to Brisbane around 10 years ago, he works full time in the city in Insurance... so is out of the house most of the time.Samantha grew up in New Zealand and has been living in Brisbane for around 10 years, she is very creative, arty and musically inclined.We both love food,  Peter having previously trained as a commercial chef and loves to BBQ when he has the time.We tend to spend a lot of time around the home watching movies and TV shows and have a massive collection of both.Fynn is an apprentice mechanic, he's out early and home late. If you do happen to find him at home,  he's likely watching Netflix.We love to keep the place clean and also enjoy a good lawn and garden.  The last tenants completely destroyed what little garden was here so we are currently in the process of re-establishing gardens and feeding scraps to our worms.We are easy going, but we have straight forward expectations that people will pay their bills on time, use their common sense and respect each other and their belongings, clean up after yourself and basically dont be a douche and we will all get on fine.House is fully furnished except bedrooms.  If you need your room furnished,  we can be flexible so let us know.","Female, straight && Male, straight",18 to 24 years && 31 to 35 years,"We are looking for new friends to move in, we're happy for you to do your own thing or join in.We'd appreciate if bills are paid on time and you help out around the place where needed.",Have a cat and dog,Non-smoker && Outdoor smoker,27 October 2019 for 1 month to plus,Large bedroom (queen bed size),Shared bathroom && Built-in wardrobe && Ceiling fan && TV aerial outlet,170,With or without a bed,"2 rooms available now, another room available early October",2 weeks,yes,includes,"We have a fluffy little bundle of joy that loves ALMOST everyone she meets, Jessamin is a 3 year old Maltese Shih Tzu, we also have a 1 year old kitten.Both our kids are very friendly and will forever brighten your day"
627094,Sydney,2 bedrooms,House,Redfern,No off-street parking,Males (gay/bi),Without a cat or dog,Non-smokers && Outdoors okay,18,-1,"electricity  = half of bill usually $300 max,  which is $150 per quarter ,  rent includes wifi",Living area heating && Broadband Internet && Dishwasher && Clothes washer,"Description of the home Terrace house, newly renovated, near train and bus, shops and supermarkets, has semi private courtyardNear transport, Redfern station and Broadway for buses. The nearest supermarket is Woolworths at Centra Park 8 min walk or Spa at Redfern Station 5 mins. Corner shops and eateries 4 mins, Broadway 10mins , local parks and swimming pools Victoria and Prince Alfred parks 10 mins each","Bars, pubs or clubs && Computers or Internet && Cooking and food && Current affairs && Movie goer && Music && Natural therapies && Personal development && Reading && Socialising && Spirituality && Television && Travel","Hi guys, Sean here, work part-time in the health industry,  broadminded and looking for same, usually early riser and early to bed, heavy sleeper!!","Male, gay/bi",41+ years,"I'm looking for friendly and considerate people with a positive attitude to life. If you're after a drama-free home and don't mind doing your bit to keep the home clean and tidy, then we're on the same page. I think it's great to have a friendship within the home, but also respect each others space and privacy. Also looking for somebody who is broadminded!",No cat or dog,Non-smoker && Outdoor smoker,27 October 2019 for 4 months to plus,Medium bedroom (double bed size),Shared bathroom && Wardrobe or rack && Desk available && Own outdoor area,320,With a bed,"chest of drawers and desk with chair, wardrobe with tall mirror , has balcony with seating , clean and bright , ground floor  own shower area and toilet used for visitors though I don't have many and I have my own toilet shower",2 weeks,yes,excludes,
627827,Melbourne,2 bedrooms,Apartment,Prahran,No off-street parking,Females (str) && Males (str),Without a cat or dog,Non-smokers,25,30,"Bills are divided when they arrive, internet and fetch TV is $40 each per month. Electricity comes monthly around $20-$30 give or take per month and gas comes quarterly around $60-$80 each per quarter. Bond is $760.50 plus one month in advance",Broadband Internet && Clothes washer,"Description of the home Lovely affordable two bedroom apartment in Prahran. House has light wooden floors and open living room with plenty of sun. Spacious bedroom with plenty street parking available. House is furnished but room is unfurnished.Great location in Prahran, 15 min walk to Chapel street and easy access to public transport tram no 6,64 & 5 nearby as well as 220 & 216 buses.Nearby Train stationsToorak train station (950m)Armadale train station VIC (1.1km)Windsor train station VIC (1.3km)more...Tram stopsLansdowne Rd/Dandenong Rd tram stop #37 (259m)Alexandra St/Dandenong Rd tram stop #36 (287m)Closeburn Ave/Dandenong Rd tram stop #36 (303m)more...Open to male and female. Sorry no couples.","Bars, pubs or clubs && Computers or Internet && Cooking and food && Creative interests && Fashion && Movie goer && Music && Reading && Shopping && Socialising && Spirituality && Sports && Television && Travel",A bit about myself I'm Steph I'm 28. I work full time in the city in health insurance . I am a pretty easy going person that keeps quiet during the week and socialises outside of home most weekends. Am after someone who doesn't mind god banter over a meal or beverage after a long day. Am keen for someone who wants a home not just a room. If that's you flick me a message to take a look round and get to know each other.,"Female, straight",25 to 30 years,"Moderately Tidy, respectful, honest, outgoing, professional looking to make the place their home. No coupes thanks and tenant to sign 12 month lease.",No cat or dog,Non-smoker && Outdoor smoker,27 October 2019 for 6 months to plus,Medium bedroom (double bed size),Shared bathroom && Built-in wardrobe,190.125,Without a bed,Medium sized room available unfurnished fits a queen bed draws and small side table.,1 month,no,excludes,
628684,Melbourne,4+ bedrooms,House,Parkdale,Uncovered off-street,Any gender/sexuality,Without a cat or dog,Non-smokers && Outdoors okay,18,40,"electricity, gas , water and internet ALL included","Ceiling fans && Air-conditioning && Living area heating && Broadband Internet && Dishwasher && Clothes washer && Clothes dryer && Study or office && Balcony, patio or deck && Courtyard, garden or yard && BBQ facilities && Electronic security","Description of the home LOCATION! LOCATION! LOCATION! TRAIN STATION 1 MINUTE AWAY! PARKDALE 3195Room is furnished with bed, bed linen, study table, lamp etcYou don't have to bring anythingYou can use all the facilities in the houseVery clean house; safe areaConvenient location (train and bus station 1 minute awayNo more long walks to get to the station--no more drivingClose to Monash Caulfield, Monash Frankston, Holmesglen Moorabbin, Moorabin Flying Schools30 mins from the city5 mins to Southland Shopping Centre15 mins to Chadstone Shopping CentreLibrary, post office, bank, shops and restaurants nearby",Reading && Shopping && Television,international students,"Female, straight && Male, straight",18 to 24 years && 25 to 30 years && 31 to 35 years && 36 to 40 years && 41+ years,"We want quiet, tidy & considerate and respectful people. Must be cleanPrefer international studentsStudents, shift workers welcomeNo pets pls. Pls note : This is not a party house.Call now and you wont be disappointed!",No cat or dog,Outdoor smoker,27 October 2019 for 6 months to plus,Small bedroom (single bed size),Shared bathroom && Wardrobe or rack && Built-in wardrobe && TV aerial outlet && Desk available,220,With a bed,,2 weeks,yes,includes,
630098,Brisbane,2 bedrooms,Apartment,New Farm,Covered off-street,Males (str) && Males (gay/bi),Without a cat or dog,Non-smokers && Outdoors okay,25,-1,Share electricity and internet between you and me,"Air-conditioning && Cable or satellite TV && Broadband Internet && Clothes washer && Storage room && Balcony, patio or deck && City views && Neighbourhood views && Electronic security","Description of the home A very comfortable 2 bedroom apartment set in a very central location in New farm. It is clean, good size home offers all essentials you need. all renovated with carpet in the bedroom and tiles in the living room, spacious living room with separate bath and toilet. Walking distance to the valley, city, river walk, close to IGA, bus stop and James street.",Animals and pets && Business && Cars or motorbikes && Cooking and food && Current affairs && Fashion && Health and fitness && Movie goer && Personal development && Shopping && Socialising && Travel,"I am 35 years old. I work in South Brisbane and Valley. Work and Gym occupy most of my time, fairly quiet when i get back home, do a bit cooking. I have basic furniture in living room and kitchen (Your room is unfurnished).","Male, gay/bi",31 to 35 years,"I am looking for a clean, tidy person who has stable monthly income, respectful, responsible, mature and easy to live with. if we share some common interest that would be great, such as gym work out, dine out, travel.No Party animals, No drugs.Sleepovers are ok, but not too oftenkeep clean and treat the place like your own",No cat or dog,Non-smoker,27 October 2019 for 6 months to plus,Large bedroom (queen bed size),Shared bathroom && Wardrobe or rack && Built-in wardrobe && Good view or outlook,180,Without a bed,"natural sunlight, view to the city, carpet floor",1 month,no,excludes,No pets
635093,Sydney,2 bedrooms,Apartment,Bondi Beach,No off-street parking,Any gender/sexuality,Without a cat or dog,Non-smokers && Outdoors okay,25,-1,Power bills are divided 50/50,"Broadband Internet && Clothes washer && Clothes dryer && Storage room && Balcony, patio or deck && Neighbourhood views","Description of the home Want to live comfortably in Bondi beach without looking at brick walls? This immaculately maintained 1st floor unit in a block of 6 is spacious and light with 2 balconies overlooking an extremely quiet and beautiful Moreton bay fig tree lined Avenue 2 min from Bondi beach, cafes, shopping, restaurants, transport and amenities. The open planned living area is ideal for entertaining, bathroom has separate bath and shower, internal laundry room and storage area.","Art and culture && Bars, pubs or clubs && Cooking and food && Creative interests && Current affairs && Fashion && Health and fitness && Music && Reading && Socialising && Sports && Travel && Writing","Hello, I'm Sebastian and work full time. Interests include surfing, music, the arts and food and wine. I am a very relaxed and sociable person who enjoys the beach and the ocean, going to gigs or just hanging out. I don't have OCD but I do like to keep my home simple, organised and clean. By the way I chose to live in this area of Bondi Beach for it's peace and quiet so it's not a party house i'm afraid.","Male, straight",36 to 40 years,"I am looking for someone who is friendly, positive, chilled and outgoing but is also respectful and considerate of others. I would prefer a professional person working full time and is willing to contribute to the upkeep of the home.",No cat or dog,Outdoor smoker,2 November 2019 for 6 months to plus,Medium bedroom (double bed size),Shared bathroom && Wardrobe or rack && TV aerial outlet && Desk available,350,With or without a bed,A very private and quiet room being located at the back of the unit. Also light and airy,1 month,yes,excludes,
637174,Sydney,2 bedrooms,Apartment,Rhodes,Covered off-street,Any gender/sexuality,Without a cat or dog && Cats okay,Smokers okay,18,-1,$20 per week all inclusive (electricity + gas + water + internet).,"Air-conditioning && Broadband Internet && Clothes washer && Clothes dryer && Study or office && Balcony, patio or deck && Courtyard, garden or yard && BBQ facilities && Neighbourhood views && Water views && Electronic security && Elevator / Lift && Swimming pool && Gym or fitness area && Sauna && Spa or hot tub","Description of the home Located in a luxury resort style complex in Rhodes with only a 7 minute walk to the train station and shopping centre is this modern 2 bedroom apartment. Its a split level apartment in the ground floor and level 1. Two rooms are located in different floors giving plenty of privacy. Room available is in the ground floor with a large private courtyard, attached bathroom, large built in mirrored wardrobes and comes full furnished with all amenities as seen in the pictures. There is even a gym, sauna and a swimming pool! All inclusive.",Health and fitness && Music && Reading && Sports && Travel,"My self, I'm the owner and not live there. Will be sharing with a young professional couple who lives in a separate floor.","Female, straight && Male, straight",25 to 30 years,"Looking for a friendly, considerate housemate to look after the apartment.",No cat or dog,Non-smoker,27 October 2019 for 3 months to plus,Large bedroom (queen bed size),Ensuite bathroom && Built-in wardrobe && TV aerial outlet && Good view or outlook,330,With a bed,,1 month,yes,excludes,
639689,Sydney,2 bedrooms,Apartment,Freshwater,No off-street parking,Females (str),Without a cat or dog,Non-smokers,18,40,"Bills are normally $240ish each, every 3 months Rent is $285 weekly (not including bills)Bond is four weeks rent","Living area heating && Clothes washer && Storage room && Balcony, patio or deck","Description of the home FURNITURE IN THE PHOTOS IS NOT MINE  (MINE IS BETTER) 2 bedroom apartment in Freshwater. The apartment is fully furnished, apart from the room that is free. The only thing I dont have is a dryer will get one soon, and the bathroom has both a bath and shower.Minutes walk to the beach, bus stop (Manly, mall, city), shops, bars, restaurants and cafes.","Bars, pubs or clubs && Health and fitness && Movie goer && Music && Socialising && Sports && Television && Travel",Hey I'm Joel. 29 year old guy who works full time. Loves hanging out at the beach chilling with mates and having a beer. But not wanting a party house. I'm up early for work and most afternoons I'm playing touch football or going to training. Love being near the beach which is only a short walk down the road.,"Male, straight",25 to 30 years,"Available for one person only (sorry no couples). Funny, easy to hang out with, easy to live with. If you think this room is for you, send me a msg with a little about yourself! More looking for a female to move in. In the same age bracket.",No cat or dog,Non-smoker,27 October 2019 for 6 months to plus,Medium bedroom (double bed size),Shared bathroom && Good view or outlook,285,Without a bed,,1 month,no,excludes,
641602,Melbourne,3 bedrooms,House,Elsternwick,Covered off-street,Females (str) && Females (gay/bi),Pets okay,Smokers okay,18,35,Internet Electricity Gas water shared between you and 2 others,"Ceiling fans && Air-conditioning && Living area heating && Cable or satellite TV && Broadband Internet && Dishwasher && Clothes washer && Study or office && Storage room && Balcony, patio or deck && Courtyard, garden or yard && BBQ facilities",Description of the home Large house in Elsternwick. Furnished or unfurnished. Massive yard and vegitable garden out the back. Its a great location 5mins walk Glenhuntly rd Tram to St Kilda and train to Chapel street and city etc etcLiving with myself (Michael) and a lil English staffy (Kevin )Come take a look and meet us : ) well take it from there.CheersMichael : ),"Animals and pets && Art and culture && Bars, pubs or clubs && Business && Cars or motorbikes && Community work && Computers or Internet && Cooking and food && Creative interests && Current affairs && Fashion && Health and fitness && Movie goer && Music && Natural therapies && Personal development && Reading && Shopping && Socialising && Spirituality && Sports && Television && Travel && Video games && Writing","Michael 35 working in advertising and Kostas 30 is an electrician. Both pretty chilled the occasional bev on a weekend together but other than that pretty quiet household.Also should mention Kevin, he is my lil English staffy.  He’s a great bloke. Loves walks, the beach people and food.Best bet is to come by and take a look and have quick chat.ThanksMichael","Female, straight && Male, straight",25 to 30 years && 31 to 35 years,Easy going - clean - respectful -,Have a dog,Non-smoker && Outdoor smoker,27 October 2019 for 3 months to plus,Large bedroom (queen bed size),Shared bathroom && Wardrobe or rack && Built-in wardrobe && Air-conditioner && Ceiling fan && TV aerial outlet && Desk available,230,With or without a bed,Room is a large light filled master bedroom - build in robes and plenty storage space,1 month,no,excludes,"Kev, my lil English staffy"
643115,Sydney,2 bedrooms,Apartment,Bondi,Covered off-street,Females (str) && Males (str) && Males (gay/bi),Without a cat or dog,Non-smokers,25,40,Bills split evenly. Internet is $30 each per monthThere is an on-street parking permit you can apply for.,"Ceiling fans && Living area heating && Cable or satellite TV && Broadband Internet && Dishwasher && Clothes washer && Balcony, patio or deck && Courtyard, garden or yard && BBQ facilities && Neighbourhood views && Elevator / Lift && Swimming pool","Description of the home A light, modern and airy 2 bedroom apartment in Bondi featuring a sunny living area, dining area, private balcony with leafy views, newly renovated kitchen with all new appliances including a dishwasher, newly renovated bathroom with bathtub and internal laundry. The secure complex has a heated pool.It's a great location only one minute walk to a bus stop, 7 minutes walk to Bondi Junction, 15 minutes walk to the beach, Waverly Park at the end of the street, parking permit available, close to local cafes and shops.Singles only, no travellers.","Animals and pets && Art and culture && Bars, pubs or clubs && Cooking and food && Creative interests && Health and fitness && Movie goer && Music && Socialising && Sports && Television && Travel","Hi there! I'm Amy, I'm 31, I work in food marketing.I'm a pretty social gal and I love the beach, yoga, going for hikes, eating and drinking all the good stuff! I love comedy and improv plus lots of travel.Midweek I'm up early to be active before work, generally out doing stuff on weeknights or relaxing after a big day at work. Not a massive party animal.","Female, straight",31 to 35 years,"Looking for a laid back, reliable and respectful housemate.Singles only, no couples.No travellers.No smokers.",No cat or dog,Non-smoker,27 October 2019 for 6 months to plus,Large bedroom (queen bed size),Shared bathroom && Built-in wardrobe && Ceiling fan,360,Without a bed,"Very light and spacious bedroom with built-ins, new carpet and blinds",1 month,yes,excludes,
643594,Brisbane,3 bedrooms,House,Jindalee,Covered off-street,Females (str) && Females (gay/bi) && Males (gay/bi),Without a cat or dog,Non-smokers && Outdoors okay,36,-1,Bills are included,"Ceiling fans && Air-conditioning && Cable or satellite TV && Broadband Internet && Dishwasher && Clothes washer && Balcony, patio or deck && Swimming pool",Description of the home I have a room in my brand new house in Jindalee.  The house has ducted aircon and 2 bathrooms.The bus stop is in the next street or parking in the street.,Animals and pets && Community work && Computers or Internet && Movie goer && Socialising && Television && Travel,My name is janet I live at my home with my female partner we both work. I work in the medical industry my partner finance. We are both over 40 and lead fairly quiet lives due to working long hours.,"Female, lesbian/bi",41+ years,Honesty and caring poeple who have goals in life,Have a cat and dog,Non-smoker,27 October 2019 for 1 week to plus,Large bedroom (queen bed size),Shared bathroom && Built-in wardrobe && Air-conditioner && Ceiling fan,240,With or without a bed,The room has a queen bed and bedside table all built in cupboards.,Discuss,yes,includes,A small maltese dog and a cat
644820,Sydney,2 bedrooms,Apartment,Camperdown,Covered off-street,Females (str) && Males (str),Without a cat or dog,Non-smokers && Outdoors okay,25,-1,Electricity separate from rent. Internet available.,"Air-conditioning && Broadband Internet && Clothes washer && Clothes dryer && Balcony, patio or deck && Courtyard, garden or yard && Neighbourhood views && Electronic security","Description of the home One large size bedroom available in a two story apartment. Own bathroom. Fully furnished but the bedroom. Has a balcony off dining room. 10min walk to King St, Newtown. Close to transport, uni, pubs and restaurants.  Supermarket at top off street as is a pub.","Animals and pets && Art and culture && Bars, pubs or clubs && Business && Community work && Computers or Internet && Cooking and food && Creative interests && Current affairs && Fashion && Health and fitness && Music && Personal development && Reading && Shopping && Socialising && Spirituality && Sports && Television && Travel","Hi my name is Emilia I work full time as a practice manger. During the week I'm pretty quiet and on the weekends like to get out and about. I love bbqs, the beach, I also don't mind just relaxing at home watching a movie. I'm an easy going person, very clean, and always pay my bills on time.","Female, straight",31 to 35 years,I'm looking for an easy going clean and responsible flatmate to share with me. Someone who won't mind dinner/drinks now and then. I would prefer a professional but will consider a student long term preferable. If interested please let me know.,No cat or dog,Non-smoker,27 October 2019 for 3 months to plus,Large bedroom (queen bed size),Own bathroom && Built-in wardrobe,330,Without a bed,Built in wardrobes and your own bathroom.,2 weeks,yes,excludes,
644908,Sydney,4+ bedrooms,House,Bondi,No off-street parking,Females (str) && Females (gay/bi),Without a cat or dog,Non-smokers,25,40,"Water, and electricity. Generally pretty low and divided by 4 occupants.Internet is nbn unlimited and is $9.50 a fortnight","Broadband Internet && Clothes washer && Storage room && Balcony, patio or deck && Courtyard, garden or yard && Neighbourhood views","Description of the home Long term room without a bed. Lovely, fully furnished and and fully renovated freestanding 4 bedroom home in Bondi. Large back yard, patio/ bbq area.  3 large living spaces. Loads of light. Free all day street parking. Living with 3 lovely girls between 28-31. The house has two full bathrooms so you will only be sharing with one other person. All the surrounding streets are all day parking so its generally pretty easy to get a parking spot.",Art and culture && Cooking and food && Creative interests && Health and fitness && Movie goer && Socialising && Sports && Television && Travel,"You will be sharing the house with 3 other girls, 28-32. All are into the outdoors, hitting the beach and enjoying the coastal lifestyle. 1 is a teachers aid, 1 is doing a medical degree and working part time. And 1 has just joined the house from Canada. We are all really lovely and easy to get along with.","Female, straight && Female, lesbian/bi",25 to 30 years && 31 to 35 years,"Looking for someone who is tidy, friendly and easy to get along with. The girls here are pretty friendly and tend to enjoy a chat so looking for someone who feels comfortable with people. Whilst we are very social this is not a party house, so we don't bring the party home.",No cat or dog,Non-smoker,27 October 2019 for 4 months to plus,Medium bedroom (double bed size),Shared bathroom && Wardrobe or rack,300,Without a bed,"very light filled medium sized room.  Windows have security grills so you can leave them open and enjoy the sea breeze. Comes with wardrobe, small set of drawers and hanging rack.",1 month,yes,excludes,
645020,Melbourne,2 bedrooms,House,Abbotsford,No off-street parking,Males (str) && Males (gay/bi),Without a cat or dog,Non-smokers && Outdoors okay,18,35,"Electricity, gas, water and internet will be split.","Ceiling fans && Air-conditioning && Living area heating && Dishwasher && Clothes washer && Balcony, patio or deck && Electronic security","Description of the home Spacious, light single fronted terrace only minutes from Collingwood station (Abbotsford), Smith, Brunswick and Victoria street. Features include; living/ cooling area heating, dishwasher, outside deck.",Animals and pets && Business && Cars or motorbikes && Cooking and food && Current affairs && Health and fitness && Reading && Socialising,"I'm a 33 year old professional male. During the week I tend to follow a routine of work, eat and sleep. On the weekends I tend to  catch up with friends and relax at home.","Male, gay/bi",31 to 35 years,"I like to maintain a clean, organised house and must like dogs.",Have a dog,Non-smoker,27 October 2019 for 6 months to plus,Large bedroom (queen bed size),Shared bathroom && Built-in wardrobe,300,Without a bed,,1 month,yes,excludes,Argo is a male Groodle who spends most of his days at work with me or at daycare.
647128,Melbourne,4+ bedrooms,House,Frankston,Covered off-street,Males (str) && Males (gay/bi),Without a cat or dog,Smokers okay,18,-1,"Electricity, uncapped internet & water. Bills equally split. Foxtel also available should you require.","Ceiling fans && Air-conditioning && Living area heating && Cable or satellite TV && Broadband Internet && Dishwasher && Clothes washer && Clothes dryer && Study or office && Storage room && Balcony, patio or deck && Courtyard, garden or yard && BBQ facilities && Water views && Electronic security","Description of the home My split level home is across the road from the beach in the exclusive Long Island Estate. The rear of the home backs on to a creek with its own jetty. There are two separate living areas leading off to the 2 bathrooms. Ample storage space throughout. Two large outdoor entertaining areas overlooking the creek and a small private courtyard at the front. Its the perfect home for entertaining in summer. Quality furniture, fixtures and fittings throughout.Situated close to public transport, cinema's and restaurants.The  large Shopping centre is 7 minutes walk away and is home to Myer, JB Hifi, Coles, Safeway and many other popular shops. 5 minute walk to Frankston Station and bus terminal. Easy access to Peninsula Link, Frankston Freeway and Eastlink. Popular Sunnyside Beach is a 10 minute drive away. The home is fully secured from street access by a high brick fence with security door and intercom. Vehicle access to the double garage is by remote control roller door.Ideally looking for a person who wants to make a home and stay long term however I will consider someone wanting 12 months or less","Animals and pets && Art and culture && Bars, pubs or clubs && Business && Cars or motorbikes && Computers or Internet && Cooking and food && Creative interests && Current affairs && Fashion && Health and fitness && Movie goer && Music && Natural therapies && Personal development && Reading && Shopping && Socialising && Spirituality && Sports && Television && Travel && Video games",Single gay/bi professional male working 8.30am to 6pm Monday to Friday. I am an Easy going social person who is equally happy with my own company as I am around others. Aside from working full time in sales I am also a qualified masseur.  I am a tidy person who takes pride in my appearance and possessions. I am looking forward to welcoming a new housemate into my home.Ideally looking for someone who wants to make a home and stay long term however I will consider 12 months or less,"Male, gay/bi",36 to 40 years,"Honesty,  reliability, cleanliness, sense of humour, easy going, maturity. Ideally looking for someone who wants to make a home and stay long term however am open to 12 months or less.",No cat or dog,Outdoor smoker,27 October 2019 for 3 months to plus,Large bedroom (queen bed size),Own bathroom && Built-in wardrobe && Walk-in wardrobe && Air-conditioner && TV aerial outlet && Desk available && Use of separate room && Adjoining room && Own outdoor area && Good view or outlook,250,With or without a bed,Includes your very own large lounge room and bathroom as well as a  second bedroom or large study. Ideally looking for someone long term however will consider 12 months or less,1 month,yes,excludes,
648533,Sydney,2 bedrooms,Apartment,Bondi,No off-street parking,Females (str) && Males (str),Without a cat or dog,Non-smokers,18,-1,"The rent includes all the bills (electricity, unlimited internet, laundry washer/dryer).","Living area heating && Broadband Internet && Clothes washer && Clothes dryer && Balcony, patio or deck && Neighbourhood views && Water views","Description of the home This is a relaxed and comfortable home on a quiet street. Wonderful ocean views from EVERY room, including your bedroom. The photos can't show how good the views are. Lots of natural light through the big windows. There's a sunny balcony with table and chairs, unlimited internet, and a laundry with washer and dryer. We're close to shops, Tamarama and Bondi beaches, and public transport.",Art and culture && Creative interests && Health and fitness && Music && Natural therapies && Personal development && Reading && Spirituality,"I'm Oscar. I work weekdays looking after the hospitality for a consultancy firm. In my spare time I'm usually at yoga class, or practising/performing music, or catching up with friends and flatmates. I grew up in the UK (Mum's from Bermuda) and I've been living in Australia for 20+ years.","Male, straight",41+ years,"Looking for happy, healthy, easy-going flatmate/s to share clean, sunny apartment in quiet block.",No cat or dog,Non-smoker,15 December 2019 for 3 weeks to 1 month,Large bedroom (queen bed size),Shared bathroom && Wardrobe or rack && Desk available && Good view or outlook,400,With a bed,Large bedroom with Queen bed. Plenty of space for a couple.,Discuss,yes,includes,
64924,Sydney,3 bedrooms,House,Maroubra,No off-street parking,Any gender/sexuality,Without a cat or dog,Non-smokers,18,40,"Broadband internet, electricity","Ceiling fans && Broadband Internet && Clothes washer && Study or office && Storage room && Courtyard, garden or yard","Description of the home Hi, myself and my partner have last week rented a nice spacious 3 bedroom home, with front sunroom, foyer and outdoor undercover area, one bathroom with a clean spacious outdoor toilet just a short walk to Maroubra Junction. The home is an older, single floor dwelling walking distance to Maroubra Junction shopping center and buses. All bedrooms and living room consists of high ceilings with fresh floating floorboards. Undercover area and sunroom allow for plenty of living and sitting spaces. Bathrooms are clean and spacious. Kitchen and dinning areas are older lino floors which we'll look into options to increase the feel of these areas. Currently unpacking a little still but home is fully furnished and ready to be lived in. Currently the thoughts are to rent only one room out to a couple at approx $360 p/w or a single at approx $300 per week. This will enable the other spare room to be used as a home office with some crafts or work areas. Another option is to rent both spare rooms out to a single person or student with the larger room being rented for $250 and the smaller for $200. Totalling 4 members for the house. Just let us know what position you're in well inquiring. Local business people take the close street parking from 8am to 4pm on a weekday all other times parking is free and right beside the front door and hasn't proven to be an issue",Art and culture && Business && Computers or Internet && Cooking and food && Creative interests && Health and fitness && Movie goer && Music && Personal development && Reading && Spirituality && Sports,"Hey, I'm Ben. I'm a bit of the sports nerd type enjoying most things thought provocative and outdoorsy. I run my own health business locally. In my spare time i'm usually out playing a round of golf, going for a kayak or indoor rock climb. When inspired i enjoy some woodworking and some other creative projects . Typically nights are quiet and at home with my partner Siri having some home made pizza's or other meals. We are both awake early for work. I get along with most people from all walks of life as i believe everyone has commonality and a perspective to share. I'd prefer to live with someone with a positive outlook on life with some hobbies and interestsHi I am Siri, working full time as a florist with my green thumbs I enjoy gardening and growing plants. I am a quiet person, calm and relax person, kept to myself but sociable at times.I am an easy going and understand when it comes to people’s space in sharing home with others, pretty tidy and clean, clean after myself though not a crazy clean freak and will expect the same from housemate/s.When I am not working, you might find me in garden, catching up with friends, sewing, mediating, out for a local wander walk, or maybe a creative work shop of some sort. I do hike occasionally. You can describe me as a beginner outdoorsy person, thanks to Ben!","Female, straight && Male, straight",31 to 35 years,"Respectful, positive",No cat or dog,Non-smoker,27 October 2019 for 5 months to plus,Large bedroom (queen bed size),Shared bathroom && Ceiling fan,300,With or without a bed,,Discuss,no,excludes,
