Brand,Model,Weight,Released on the market,For women,For kids,Frame material,Frame type,Collapsible frame,Color,Fork type,Shock absorber type,Shock absorber pressure,Fork name,Wheel drive,Drive type,Transmission type,Number of speeds,System name,Cassette name,Front derailleur gears name,Rear derailleur gears name,Shifters type,Shifters name,Front brakes,Front brakes name,Rear brakes,Number of wheels,Wheels diameter,Double rim,Rim material,Rims name,Tyres pattern,Tyres name,Handlebar type,Handlebar name,Seat type,Seat suspension,Seat name,Pedals type,Pedals name,Front panel,Rear panel panel,Trunk,Rearview mirror,Horn,Basket
Aist,28 271 (2014),-,2014,Steel,-,Steel,Open,-,Black,Tough,-,-,-,Rear,Chain,with planetary gear,3,-,-,-,-,Combined,-,-,-,-,-,"28 """,-,Aluminium,-,-,"1.75""",-,-,-,Platform,-,Platform,-,??????,??????,front,front,front,front
Aist,28 660 Zebra (2014),-,2014,Aluminum Alloy,-,Aluminum Alloy,Closed,-,"Red, Green",Suspension,-,80 mm,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Sparkle VB989,-,Sparkle VB989,-,"26 """,-,-,-,-,"1.75""",-,-,Sports,VP,Sports,Platform,-,-,-,-,-,-,-
Aist,8 BIT,-,-,Aluminum Alloy,-,Aluminum Alloy,Closed,-,Black,Suspension,Spring-elastomer,80 mm,-,Rear,Chain,With an external switch,-,-,-,-,-,Combined,-,Promax TX-107L,-,Promax TX-107L,-,"26 """,-,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,VP 877,Sports,Platform,-,-,-,-,-,-,-
Aist,8 BIT,-,-,No,No,Aluminum Alloy,Closed,-,Black,Tough,Spring-elastomer,80 mm,-,Rear,Chain,With an external switch,-,Shimano FC-M171,Shimano CS-HG31,Shimano Tourney FD-TX50,Shimano Acera RD-M360,Trigger,Shimano ST-EF40,Rim mechanical,Promax TX-107L,Rim mechanical,2,"26 """,-,Aluminium,Alex DH19,Mud,Innova,With the rise of,With the rise of,Sports,No,Vader,Platform,-,No,No,No,No,No,No
Aist,AT12 130,-,-,Steel,-,Steel,Closed,-,Black,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"28 """,Ponley,-,-,-,With the rise of,With the rise of,With the rise of,-,Platform,-,Platform,-,-,-,-,-,-,-
Aist,AT12 130,-,-,No,No,Steel,Closed,-,Black,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,Missing,-,Foot,2,"28 """,No,-,-,-,Ponley,With the rise of,With the rise of,-,Yes,-,Platform,-,Yes,Yes,Yes,No,No,No
Aist,AT9 314,-,2009,Steel,-,Steel,Open,-,Green,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"28 """,With the rise of,-,-,-,-,With the rise of,With the rise of,-,-,-,Platform,-,-,-,-,-,-,-
Aist,AT9 314,-,2009,Yes,-,Steel,Open,-,Green,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,Prowheel,DNP,-,-,-,-,Missing,-,Foot,2,"28 """,No,-,-,-,-,With the rise of,With the rise of,-,-,-,Platform,-,No,No,No,No,No,No
Aist,CK12 344,-,-,Steel,-,Steel,Open,-,Light blue,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"24 """,Ponley,-,-,-,With the rise of,With the rise of,With the rise of,-,-,-,Platform,-,Partial,Partial,-,-,-,-
Aist,CK12 344,-,-,No,Yes,Steel,Open,-,Light blue,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,Missing,-,Foot,2,"24 """,No,-,-,-,Ponley,With the rise of,With the rise of,-,-,-,Platform,-,Yes,Yes,Yes,No,No,No
Aist,CK12 610,-,-,Steel,-,Steel,Open,-,Pink,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"20 """,Ponley,-,-,-,With the rise of,With the rise of,With the rise of,-,-,-,Platform,-,-,-,-,-,-,-
Aist,CK12 610,-,-,Yes,Yes,Steel,Open,-,Pink,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,Missing,-,Foot,2,"20 """,No,-,-,-,Ponley,With the rise of,With the rise of,-,-,-,Platform,-,Yes,Yes,Yes,No,No,No
Aist,CK13 337,-,-,Steel,-,Steel,Open,-,Light blue,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"20 """,-,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Comfortable,Platform,-,Platform,-,-,-,-,-,-,-
Aist,CK13 337,-,-,No,-,Steel,Open,-,Light blue,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,2,"20 """,-,Aluminium,-,Mud,-,With the rise of,With the rise of,Comfortable,Yes,-,Platform,-,Yes,Yes,Yes,No,-,No
Aist,CT12 133,-,-,Aluminum Alloy,-,Aluminum Alloy,Closed,-,Black,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,-,-,-,-,-,Aluminium,Aluminium,-,Semi slicks,Semi slicks,With the rise of,With the rise of,Sports,Platform,-,Platform,-,-,-,-,-,-,-
Aist,CT12 133,-,-,No,No,Aluminum Alloy,Closed,-,Black,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,21,Dotec,-,Falcon,Shimano Tourney RD-TX35,Trigger,Shimano Revo Shift SL-RS35,Rim mechanical,-,Rim mechanical,2,-,No,Aluminium,-,Semi slicks,Ponley,With the rise of,With the rise of,Sports,No,-,Platform,-,Yes,Yes,Yes,No,No,No
Aist,CT12 136,-,-,Aluminum Alloy,-,Aluminum Alloy,Closed,-,Black,Tough,-,-,-,Rear,Chain,with planetary gear,21,-,-,-,-,Grip-Shift,-,-,-,-,-,-,Aluminium,Aluminium,-,Semi slicks,Semi slicks,With the rise of,With the rise of,Sports,Platform,-,Platform,-,-,-,-,-,-,-
Aist,CT12 136,-,-,No,No,Aluminum Alloy,Closed,-,Black,Tough,-,-,-,Rear,Chain,with planetary gear,21,Dotec,-,Falcon,Shimano Tourney RD-TX35,Trigger,Shimano Revo Shift SL-RS35,Rim mechanical,-,Rim mechanical,2,-,No,Aluminium,-,Semi slicks,Ponley,With the rise of,With the rise of,Sports,No,-,Platform,-,No,No,No,No,No,No
Aist,CT12 234,-,-,Aluminum Alloy,-,Aluminum Alloy,Open,-,Black,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,-,-,-,-,-,Aluminium,Aluminium,-,Semi slicks,Semi slicks,With the rise of,With the rise of,Sports,Platform,-,Platform,-,-,-,-,-,-,-
Aist,CT12 234,-,-,No,No,Aluminum Alloy,Open,-,Black,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,21,Dotec,-,Falcon,Shimano Tourney RD-TX35,Trigger,Shimano Revo Shift SL-RS35,Rim mechanical,-,Rim mechanical,2,-,No,Aluminium,-,Semi slicks,Ponley,With the rise of,With the rise of,Sports,No,-,Platform,-,Yes,Yes,Yes,No,No,No
Aist,Daisy Chain,-,-,Aluminum Alloy,-,Aluminum Alloy,Closed,-,White,Suspension,Spring-elastomer,80 mm,-,Rear,Chain,With an external switch,-,-,-,-,-,Combined,-,Promax TX-107L,-,Promax TX-107L,-,"26 """,-,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,VP 877,Sports,Platform,-,-,-,-,-,-,-
Aist,Daisy Chain,-,-,No,No,Aluminum Alloy,Closed,-,White,Suspension,Spring-elastomer,80 mm,Avanti ES-124-1,Rear,Chain,With an external switch,-,Shimano FC-M171,Shimano CS-HG31,Shimano Tourney FD-TX50,Shimano Acera RD-M360,Trigger,Shimano ST-EF40,Rim mechanical,Promax TX-107L,Rim mechanical,2,"26 """,-,Aluminium,Alex DH19,Mud,Innova,With the rise of,With the rise of,Sports,No,Vader,Platform,-,No,No,No,No,No,No
Aist,Decent Fly,-,-,Steel,-,Steel,Closed,-,White,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,Sparkle VB989,-,Sparkle VB989,-,"26 """,-,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,VP 896N,Sports,Platform,-,Partial,Partial,-,-,-,-
Aist,Decent Fly,-,-,No,No,Steel,Closed,-,White,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,-,Dotec,Shimano MF-TZ21,Shimano FD-TZ30,Shimano RD-TX30,Trigger,Shimano ST-EF40,Rim mechanical,Sparkle VB989,Rim mechanical,2,"26 """,-,Aluminium,JHT HLQ-12,Mud,Kenda K847,With the rise of,With the rise of,Sports,No,Vader,Platform,-,No,No,No,No,No,No
Aist,green is the color,-,-,Aluminum Alloy,-,Aluminum Alloy,Open,-,Green,Suspension,Spring-elastomer,80 mm,-,Rear,Chain,With an external switch,-,-,-,-,-,Trigger,-,Promax TX-107L,-,Promax TX-107L,-,"26 """,-,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,VP 877,Sports,Platform,-,-,-,-,-,-,-
Aist,green is the color,-,-,No,No,Aluminum Alloy,Open,-,Green,Suspension,Spring-elastomer,80 mm,-,Rear,Chain,With an external switch,-,Shimano FC-M171,Shimano CS-HG31,Shimano Tourney FD-TX50,Shimano Acera RD-M360,Trigger,Campagnolo Athena Power,Rim mechanical,Promax TX-107L,Rim mechanical,2,"26 """,-,Aluminium,Alex DH19,Mud,Innova K2111,With the rise of,With the rise of,Sports,No,Vader,Platform,-,No,No,No,No,No,No
Aist,KB12 12,-,-,No,Yes 3 years,Steel,-,-,"Black, Orange",Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,Rim mechanical,-,Foot,2+2,"12 """,No,Aluminium,-,-,Ponley,With the rise of,With the rise of,-,No,-,Platform,-,Yes,Yes,No,No,Yes,No
Aist,KB12 121,-,-,No,Yes 3 years,Steel,-,-,Purple,Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,-,-,Foot (COASTER BRAKE),2+2,"12 """,No,Aluminium,-,-,Ponley,With the rise of,With the rise of,-,No,-,Platform,-,Yes,Yes,No,No,No,No
Aist,KB12 16,-,-,No,Yes 3 years,Steel,-,-,Green,Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,Rim mechanical,V-brake,Rim mechanical,2+2,"16 """,No,Aluminium,-,-,Ponley,With the rise of,With the rise of,-,No,-,Platform,-,Yes,Yes,No,No,Yes,No
Aist,KB12 22,-,-,No,Yes 3 years,Steel,-,-,Pink,Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,Rim mechanical,-,-,2+2,"12 """,No,Aluminium,-,-,Ponley,With the rise of,With the rise of,-,No,-,Platform,-,Yes,Yes,Yes,No,Yes,Yes
Aist,KB12 26,-,-,No,Yes 3 years,Steel,-,-,Pink,Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,Rim mechanical,V-brake,Rim mechanical,2+2,"16 """,No,Aluminium,-,-,Ponley,With the rise of,With the rise of,-,No,-,Platform,-,Yes,Yes,Yes,No,Yes,Yes
Aist,KB12 311,-,-,No,Yes 3 years,Steel,-,-,Yellow,Tough,-,-,-,Front,Direct,without transmission,-,-,-,-,-,-,-,-,-,-,3,-,No,plastic,-,-,-,With the rise of,With the rise of,-,No,-,Platform,-,No,No,No,No,No,No
Aist,MT12 117,-,-,Aluminum Alloy,-,Aluminum Alloy,Closed,-,Red,Suspension,-,100 mm,-,Rear,Chain,With an external switch,27,-,-,-,-,Trigger,-,AIST,-,AIST,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,VP,-,Platform,-,-,-,-,-,-,-
Aist,MT12 117,-,-,No,No,Aluminum Alloy,Closed,-,Red,Suspension,Spring-elastomer,100 mm,SR Suntour XCT V3,Rear,Chain,With an external switch,24,Shimano FC-M191,-,Shimano FD-M190A,Shimano Alivio FD-M410,Trigger,Shimano Acera SL-M310,Mechanical disc,Shimano BR-M416,Mechanical disc,2,"26 """,No,Aluminium,Weinmann,Mud,Kenda,With the rise of,With the rise of,Sports,No,-,Platform,-,No,No,No,No,No,No
Aist,MT12 118,-,-,Aluminum Alloy,-,Aluminum Alloy,Closed,-,Black,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,24,-,-,-,-,Trigger,-,Promax TX-121,-,Promax TX-121,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,Platform,-,Platform,-,-,-,-,-,-,-
Aist,MT12 118,-,-,No,No,Aluminum Alloy,Closed,-,Black,Suspension,Spring-elastomer,-,SR Suntour SF9-M2025,Rear,Chain,With an external switch,24,SR Suntour XCC,-,Shimano FD-M190,Shimano Acera RD-M360,Trigger,Shimano Acera SL-EF51,Rim mechanical,Promax TX-121,Rim mechanical,2,"26 """,No,Aluminium,Weinmann,Mud,Kenda,With the rise of,With the rise of,Sports,No,-,Platform,-,No,No,No,No,No,No
Aist,MT12 120,-,-,Aluminum Alloy,-,Aluminum Alloy,Closed,-,Silver,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,21,-,-,-,-,Trigger,-,GW,-,GW,-,"26 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,Platform,-,Platform,-,-,-,-,-,-,-
Aist,MT12 120,-,-,No,No,Aluminum Alloy,Closed,-,Silver,Suspension,Spring-elastomer,-,GW,Rear,Chain,With an external switch,21,Dotec,-,DNP,Shimano Tourney RD-TX50,Trigger,Shimano ST-EF40,Mechanical disc,GW,Mechanical disc,2,"26 """,No,Aluminium,Weinmann,Mud,Kenda,With the rise of,With the rise of,Sports,No,-,Platform,-,No,No,No,No,No,No
Aist,MT12 121,-,-,Steel,-,Steel,Closed,-,"White, Red",Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,6,-,-,-,-,Grip-Shift,-,Henli,-,Henli,-,"24 """,Aluminium,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,Platform,-,Platform,-,-,-,-,-,-,-
Aist,MT12 121,-,-,No,No,Steel,Closed,-,"White, Red",Suspension,Spring-elastomer,-,GW,Rear,Chain,With an external switch,6,-,-,-,-,Grip-Shift,-,Rim mechanical,Henli,Rim mechanical,2,"24 """,No,Aluminium,JHT,Mud,MTB,With the rise of,With the rise of,Sports,No,-,Platform,-,No,No,No,No,No,No
Aist,Okey Dokey,-,-,Aluminum Alloy,-,Aluminum Alloy,Closed,-,"Silver, Green",Suspension,Spring-elastomer,80 mm,-,Rear,Chain,With an external switch,-,-,-,-,-,Trigger,-,Promax TX-107L,-,Promax TX-107L,-,"26 """,-,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,VP 877,Sports,Platform,-,-,-,-,-,-,-
Aist,Okey Dokey,-,-,No,No,Aluminum Alloy,Closed,-,"Silver, Green",Suspension,Spring-elastomer,80 mm,SR Suntour SF13-XCM,Rear,Chain,With an external switch,-,Shimano Acera FC-M371,Shimano CS-HG20,Shimano Acera FD-M390,Shimano Alivio RD-M430,Trigger,Shimano Acera SL-M390,Rim mechanical,Promax TX-107L,Rim mechanical,2,"26 """,-,Aluminium,Alex DH19,Mud,Innova K2111,With the rise of,With the rise of,Sports,No,Vader,Platform,-,No,No,No,No,No,No
Aist,Quest Black,-,-,Steel,-,Steel,Closed,-,Black,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,-,-,-,-,-,Trigger,-,Sparkle VB989,-,Sparkle VB989,-,"26 """,-,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,VP 896N,Sports,Platform,-,-,-,-,-,-,-
Aist,Quest Black,-,-,No,No,Steel,Closed,-,Black,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,-,Dotec,Shimano MF-TZ21,Shimano FD-TZ30,Shimano RD-TX30,Trigger,Shimano ST-EF40,Rim mechanical,Sparkle VB989,Rim mechanical,2,"26 """,-,Aluminium,JHT HLQ-12,Mud,Kenda K847,With the rise of,With the rise of,Sports,No,Vader,Platform,-,No,No,No,No,No,No
Aist,Quest Green,-,-,Steel,-,Steel,Closed,-,Green,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,-,-,-,-,-,Trigger,-,Sparkle VB989,-,Sparkle VB989,-,"26 """,-,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,VP 896N,Sports,Platform,-,-,-,-,-,-,-
Aist,Quest Green,-,-,No,No,Steel,Closed,-,Green,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,-,Dotec,Campagnolo Chorus,Shimano FD-TZ30,Shimano RD-TX30,Trigger,Shimano ST-EF40,Rim mechanical,Sparkle VB989,Rim mechanical,2,"26 """,-,Aluminium,JHT HLQ-12,Mud,Kenda K847,With the rise of,With the rise of,Sports,No,Vader,Platform,-,No,No,No,No,No,No
Aist,Quest Yellow,-,-,Steel,-,Steel,Closed,-,Yellow,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,-,-,-,-,-,Trigger,-,Sparkle VB989,-,Sparkle VB989,-,"26 """,-,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,VP 896N,Sports,Platform,-,-,-,-,-,-,-
Aist,Quest Yellow,-,-,No,No,Steel,Closed,-,Yellow,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,-,Dotec,Shimano MF-TZ21,Shimano FD-TZ30,Shimano RD-TX30,Trigger,Shimano ST-EF40,Rim mechanical,Sparkle VB989,Rim mechanical,2,"26 """,-,Aluminium,JHT,Mud,Kenda K847,With the rise of,With the rise of,Sports,No,Vader,Platform,-,No,No,No,No,No,No
Aist,Screw,-,-,Steel,-,Steel,Closed,-,Black,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,-,-,-,-,-,Combined,-,Sparkle VB989,-,Sparkle VB989,-,"26 """,-,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,VP 896N,Sports,Platform,-,-,-,-,-,-,-
Aist,Screw,-,-,No,No,Steel,Closed,-,Black,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,-,Dotec,Shimano MF-TZ21,Shimano FD-TZ20,Shimano RD-TX30,Trigger,Shimano ST-EF40,Rim mechanical,Sparkle VB989,Rim mechanical,2,"26 """,-,Aluminium,JHT HLQ-12,Mud,Kenda K847,With the rise of,With the rise of,Sports,No,Vader,Platform,-,No,No,No,No,No,No
Aist,Serious Gray,-,-,Steel,-,Steel,Closed,-,Gray,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,-,-,-,-,-,Trigger,-,Sparkle VB989,-,Sparkle VB989,-,"26 """,-,Aluminium,-,Mud,Mud,With the rise of,With the rise of,Sports,VP 896N,Sports,Platform,-,-,-,-,-,-,-
Aist,Serious Gray,-,-,No,No,Steel,Closed,-,Gray,Suspension,Spring-elastomer,-,-,Rear,Chain,With an external switch,-,Dotec,Shimano MF-TZ21,Shimano FD-TZ30,Shimano RD-TX30,Trigger,Shimano ST-EF40,Rim mechanical,Sparkle VB989,Rim mechanical,2,"26 """,-,Aluminium,JHT HLQ-12,Mud,Kenda K847,With the rise of,With the rise of,Sports,No,Vader,Platform,-,No,No,No,No,No,No
Aist,SK12 334,-,-,No,Yes,Steel,Open,-,Light blue,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,Missing,-,Foot,2,"24 """,No,-,-,-,Ponley,With the rise of,With the rise of,-,-,-,Platform,-,Yes,Yes,Yes,No,No,No
Aist,TK12 109,-,-,Aluminum Alloy,-,Aluminum Alloy,Closed,-,Black,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,-,-,-,-,-,-,-,-,-,-,"28 """,Aluminium,Aluminium,-,Slicks,Slicks,Road,Road,Sports,-,-,Bicycle pedal,-,-,-,-,-,-,-
Aist,TK12 109,-,-,No,No,Aluminum Alloy,Closed,-,Black,Tough,-,-,-,Rear,Chain,1-speed (?????????),1,Truvativ Tuoro Track,-,-,-,-,-,Missing,-,Foot,2,"28 """,No,Aluminium,Alex Solo Track,Slicks,KENDA Kinetics,Road,Road,Sports,-,-,Bicycle pedal,-,No,No,No,No,No,No
Aist,Uprise (2013),-,2014,Aluminum Alloy,-,Aluminum Alloy,Closed,-,Light blue,Suspension,-,80 mm,-,Rear,Chain,With an external switch,24,-,-,-,-,Combined,-,V-brake,-,V-brake,-,"26 """,Rubena V75 Scylla,-,-,Mud,Mud,Direct,Direct,Sports,Platform,-,Platform,-,-,-,-,-,-,-
Aist,Uprise (2013),-,2014,No,-,Aluminum Alloy,Closed,-,Light blue,Suspension,-,80 mm,-,Rear,Chain,With an external switch,24,-,-,-,-,Combined,-,V-brake,-,V-brake,-,"26 """,Yes,-,-,Mud,-,Direct,Direct,Sports,No,-,Platform,-,No,No,No,No,-,No
Aist,Zebra Green,-,-,No,No,Aluminum Alloy,Closed,-,"Green, Orange",Suspension,Spring-elastomer,80 mm,-,Rear,Chain,With an external switch,-,Shimano FC-M131,Shimano MF-TZ31,Shimano FD-TZ30,Shimano Tourney RD-TX35,Trigger,Shimano ST-EF40,Rim mechanical,Sparkle VB989,Rim mechanical,2,"26 """,-,Aluminium,JHT HLQ-12,Mud,Innova IA-2013,With the rise of,With the rise of,Sports,No,Vader,Platform,-,No,No,No,No,No,No
Amigo,001 12,-,-,No,Yes 1.5 - 3 years,Steel,Open,-,-,Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,Missing,-,Foot,2+2,"12 """,-,-,-,-,-,With the rise of,With the rise of,-,No,-,Platform,-,Yes,Yes,Yes,Yes,Yes,No
Amigo,001 14,-,-,No,Yes 2.5 - 4 years,Steel,Open,-,Pink,Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,Missing,-,Foot,2+2,"14 """,-,-,-,-,-,With the rise of,With the rise of,-,No,-,Platform,-,Yes,Yes,Yes,Yes,Yes,No
Amigo,001 16,-,-,No,Yes 3 - 7 years,Steel,Open,-,"Red, Purple, Green, Pink",Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,Missing,-,Foot,2+2,"16 """,-,-,-,-,-,With the rise of,With the rise of,-,No,-,Platform,-,Yes,Yes,Yes,Yes,Yes,No
Amigo,001 18,-,-,No,Yes 6 - 10 years,Steel,Open,-,"Red, Purple, Green, Pink",Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,Missing,-,Foot,2+2,"18 """,-,-,-,-,-,With the rise of,With the rise of,-,No,-,Platform,-,Yes,Yes,Yes,Yes,Yes,No
Amigo,002 20,-,-,No,Yes 6 years,Steel,Open,-,Purple,Tough,-,-,-,Rear,Chain,1-speed (?????????),-,-,-,-,-,-,-,Missing,-,Foot,2,"20 """,-,-,-,-,-,With the rise of,With the rise of,-,No,-,Platform,-,Yes,Yes,Yes,Yes,Yes,No
Amigo,003 24,-,-,Yes,Yes 7 years,Aluminum Alloy,Open,-,"Black, Silver, Red",Suspension,-,-,-,Rear,Chain,With an external switch,18,-,-,Shimano Tourney FD-TZ31,Shimano TZ-50,Grip-Shift,Shimano Revo Shift SL-RS35,Rim mechanical,V-brake,Rim mechanical,2,"24 """,Yes,Aluminium,-,-,"Wanda 24""*1,95",Direct,Direct,Sports,-,-,Platform,-,Yes,Yes,No,No,Yes,No
Amigo,"003 24""",-,-,7 - 10 years,-,Aluminum Alloy,Open,-,"Silver, Red, Black",Suspension,Spring wire,-,-,Rear,Chain,With an external switch,18,-,-,-,-,Grip-Shift,-,Yinxing,-,Yinxing,-,"24 """,Aluminium,Aluminium,-,-,"1.95""",Direct,Direct,Sports,Yonghua,Sports,Platform,-,Partial,Partial,-,-,-,-
Amigo,004 26,-,-,Yes,Yes 7 years,Aluminum Alloy,Closed,-,"Black, Silver, Red",Suspension,-,-,-,Rear,Chain,With an external switch,18,-,-,Shimano Tourney FD-TZ31,Shimano TZ-50,Grip-Shift,Shimano PS-35,Rim mechanical,V-brake,Rim mechanical,2,"26 """,Yes,Aluminium,-,-,"Wanda 24""*1,95",Direct,Direct,Sports,-,-,Platform,-,Yes,Yes,No,No,Yes,No
