Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Cinelli;Tipo Pista Track Bike 2020;699,99;Road;;S, XS;------;Single Speed;Columbus 1-1/8” Carbon blades / Tapered alloy steerer;Promax
Vitus;Razor Disc Road Bike (Claris) 2021;699,99;Road;;XXS, M, XL, XXL, S, XS, L;Shimano Claris R2000 RD-R2000, 8 Speed;8 Speed;Razor Carbon UD Carbon, Tapered Aluminium Steerer, Mudguard Mounts, Flat Mount, 12 x 100mm Axle;Tektro MD-C310 Disc Brake Flat Mount, Cable Actuated
Vitus;Razor W Disc Road Bike (Claris) 2021;699,99;Road;7.8kg;S, XXS, M, L, XS;Shimano Claris R2000 RD-R2000, 8 Speed;8 Speed;Razor Carbon UD Carbon, Tapered Aluminium Steerer, Mudguard Mounts, Flat Mount, 12 x 100mm Axle;Tektro MD-C310 Disc Brake Flat Mount, Cable Actuated
Vitus;Razor VR Disc Road Bike (Sora) 2021;799,99;Road;;M, XS, XL, S, L, XXL, XXS;Shimano Sora R3000 RD-R3000, 9 Speed;9 Speed;Razor Carbon UD Carbon, Tapered Aluminium Steerer, Mudguard Mounts, Flat Mount, 12 x 100mm Axle;Tektro Spyre Disc Brake MD-C610-C, Flat Mount, Cable Actuated
Cube;Attain Pro Road Bike 2021;849;Road;10.3kg;"53.5cm (21""), 50cm (19.5""), 58cm (22.75""), 47cm (18.5""), 60cm (23.5""), 56cm (22"")";Shimano Sora RD-R3000, 9-Speed;18 Speed;"CUBE CSL Race Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";TRP Spyre MD-C610C, Flat Mount (160/160)
Octane One;Kode ADV Commuter Road Bike 2021;849,99;Road;------;L, M, S;------;16 Speed;CrMo Steel fork, 9x100mm, 1-1/8”;Hayes MX Comp Disc
Cube;Axial WS Pro Road Bike 2021;899;Road;10.3kg;"56cm (22""), 50cm (19.5""), 53.5cm (21"")";Shimano Sora RD-R3000, 9-Speed;18 Speed;"CUBE CSL Race Disc, One Piece 3D-Forged Steerer/Crown, Carbon Blades, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";TRP Spyre MD-C610C, Flat Mount (160/160)
Cube;SL Road Pro Bike 2021;899;Road;10.9kg;"56cm (22""), 62cm (24.5"")";Shimano Tiagra RD-4700GS, 10-Speed;20 Speed;Cube TS Disc, Full Carbon, Taper, Flat Mount, 12x100mm;Tektro HD-R280, Hydr. Disc, Flat Mount (160/160mm rotors)
Fuji;Sportif 2.1 Road Bike 2021;899,99;Road;------;"56cm (22""), 61cm (24""), 52cm (20.5""), 54cm (21""), 58cm (22.75""), 49.5cm (19.5"")";Shimano Sora;18 Speed;C5 Carbon Fibre legs, alloy steerer;"Levers: Shimano Sora; Calipers: Alloy dual pivot, 47mm-57mm reach"
Cube;Attain Race Road Bike 2021;999;Road;10.1kg;"62cm (24.5""), 53.5cm (21""), 58cm (22.75""), 50cm (19.5"")";Shimano Tiagra RD-4700GS, 10-Speed;20 Speed;"CUBE CSL Race Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";TRP Spyre MD-C610C, Flat Mount (160/160)
Cube;Nuroad Pro Road Bike 2021;999;Road;10.6 kg;"53.5cm (21""), 56cm (22""), 50cm (19.5""), 61cm (24""), 58cm (22.75"")";Shimano Tiagra Rd-4700gs, 10-speed;20 Speed;"Cube Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";TRP Spyre MD-C610C, Flat Mount (160/160)
Orro;Gold Road Bike (Tiagra) 2021;999,99;Road;------;M, XL, L, XXS, S, XS;Shimano Tiagra 10-speed SS Rear Derailleur;22 Speed;Orro Gold Rim Brake Carbon;------
Ridley;Fenix SLA Disc Road Bike (Tiagra) 2021;999,99;Road;------;L, XS, S, M;Shimano Tiagra 4700 10-Speed long cage;22 Speed;------;TRP Spyre C
Ridley;Kanzo A Adventure Bike (Apex 1) 2021;999,99;Road;------;L, M, S, XS;SRAM Apex1;11 Speed;Oryx Disc Adventure, Aluminium, 12x100mm TA;TRP Spyre C cable-operated disc brakes
Cube;SL Road Race Bike 2021;1099;Road;10.1kg;"50cm (19.5""), 56cm (22""), 53.5cm (21"")";Shimano 105 RD-R7000-DGS, 11-Speed;22 Speed;Cube TS Disc, Full Carbon, Taper, Flat Mount, 12x100mm;Tektro HD-R280, Hydr. Disc, Flat Mount (160/160mm rotors)
Cinelli;Vigorelli Aluminium Pista Track Bike 2019;1099,99;Road;------;L;------;Single Speed;Columbus Pista Leggera Carbon 1-1/8” - 1-1/2”;Standard road caliper
Vitus;Zenium Road Bike (Tiagra) 2021;1099,99;Road;;L, XXL, XS, M, XL, S;Shimano Tiagra R4700 RD-R4700, 10 Speed;10 Speed;Zenium Carbon UD Carbon, Tapered Carbon Steerer, Flat Mount, 12 x 100mm Axle;Tektro Spyre Disc Brake MD-C610-C, Flat Mount, Cable Actuated
Fuji;Sportif 1.5 Disc Road Bike 2020;1129;Road;------;"52cm (20.5"")";Shimano Tiagra;------;FC-440 full-Carbon monocoque, quick-release axle w/ flat-mount disc tabs, tapered steerer;TRP Spyre C mechanical disc, 160mm rotors
Cube;Nuroad Pro FE Road Bike 2021;1199;Road;11.9 kg;"50cm (19.5""), 61cm (24""), 56cm (22""), 53.5cm (21"")";Shimano Tiagra RD-4700GS, 10-Speed;20 Speed;"CUBE Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";TRP Spyre MD-C610C, Flat Mount (160/160)
Vitus;Zenium CR Road Bike (105) 2020;1199,99;Road;9.3kg;M;Shimano 105 RD-R7000-GS, 11-Speed, Direct Mount;22 Speed;UD Carbon Full Carbon tapered steerer, 100 x 12mm;Shimano 105 ST-R7020 & BR-R7070, Hydraulic
Cube;Attain SL Road Bike 2021;1299;Road;10.0kg;"50cm (19.5""), 58cm (22.75""), 60cm (23.5""), 56cm (22""), 53.5cm (21"")";Shimano 105 RD-R7000-DGS, 11-Speed;22 Speed;"CUBE CSL Race Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";Shimano 105 BR-R7070, Hydr. Disc Brake, Flat Mount (160/160)
Cube;Axial WS Race Road Bike 2021;1299;Road;9.9 kg;"50cm (19.5""), 53.5cm (21""), 56cm (22""), 47cm (18.5"")";Shimano 105 RD-R7000-DGS, 11-Speed;22 Speed;"CUBE CSL Race Disc, One Piece 3D-Forged Steerer/Crown, Carbon Blades, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";Shimano 105 BR-R7070, Hydr. Disc Brake, Flat Mount (160/160)
Fuji;Sportif 1.3 Disc Road Bike 2021;1349,99;Road;------;"54cm (21""), 52cm (20.5""), 58cm (22.75""), 56cm (22"")";Shimano 105, 11-Speed;20 Speed;FC-440 full-carbon monocoque, 12mm thru-axle w/ flat-mount disc tabs, tapered steerer;TRP HY/RD disc, 160mm rotors
Cube;Nuroad Race Road Bike 2021;1399;Road;10.4kg;"61cm (24""), 53.5cm (21""), 56cm (22""), 50cm (19.5"")";Shimano GRX RD-RX810, Direct Mount, 11-Speed;22 Speed;"CUBE Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";Shimano BR-RX400, Hydr. Disc Brake, Flat Mount (160/160)
Cube;SL Road SL Bike 2021;1499;Road;9.7kg;"62cm (24.5""), 53.5cm (21"")";Shimano Ultegra RD-R8000-DGS, 11-Speed;22 Speed;CUBE TS Disc, Full Carbon, Taper, Flat Mount, 12x100mm;Shimano BR-RS405, Hydr. Disc Brake, Flat Mount (160/160)
Kona;Sutra Adventure Road Bike 2021;1499;Road;------;"50cm (19.5""), 58cm (22.75""), 48cm (19""), 54cm (21""), 56cm (22""), 52cm (20.5"")";Shimano Deore SGS, 10-Speed;30 Speed;Kona Project Two Chromoly Disc Touring;TRP Spyre C 160mm
Cinelli;Veltrix Disc Tiagra Hydro Road Bike 2020;1499,99;Road;------;XS;Shimano Tiagra 10-Speed;20 Speed;"Columbus Disc 1 1/8"" - 1 1/2"" Monocoque";Shimano Tiagra Hydraulic (160/140)
Vitus;Zenium CR Road Bike (105) 2021;1499,99;Road;;S, L, XXL, XL, M, XS;Shimano 105 R7000 RD-R7000, 11 Speed, Long Cage;11 Speed;Zenium Carbon UD Carbon, Tapered Carbon Steerer, Flat Mount, 12 x 100mm Axle;Shimano 105 R7000 ST-R7070-R, Flat Mount, Hydraulic
Vitus;Zenium CRW Road Bike (105) 2021;1499,99;Road;;M, L, XS, S;Shimano 105 R7000 RD-R7000, 10 Speed, Long Cage;11 Speed;Zenium Carbon UD Carbon, Tapered Carbon Steerer, Flat Mount, 12 x 100mm Axle;Shimano 105 R7000 ST-R7070-R, Flat Mount, Hydraulic
Cube;Nuroad Race FE Road Bike 2021;1599;Road;9kg;"53.5cm (21""), 58cm (22.75""), 56cm (22""), 61cm (24"")";Shimano GRX RD-RX810, Direct Mount, 11-Speed;22 Speed;"CUBE Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";Shimano BR-RX400, Hydr. Disc Brake, Flat Mount (160/160)
Vitus;Vitesse EVO CR Road Bike (105) 2020;1599,99;Road;11.7 kg;XS;Shimano 105 R7000-GS, 11-Speed, Direct Mount;22 Speed;Integrated UD Carbon, Full Carbon tapered steerer, 100 x 12mm;Shimano 105 R7000 Hydraulic ST-R7020 & BR-R7070, 140mm Rotor, Resin pad with cooling fin
Vitus;ZX1 CR Road Bike (105) 2020;1699,99;Road;8.41kg (medium);XS;Shimano 105 R7000-SS, 11-Speed, Direct Mount;22 Speed;Integrated UD Carbon, Full Carbon tapered steerer, 100 x 12mm;Shimano 105 R7000 Hydraulic ST-R7020 & BR-R7070, Resin pad with cooling fin
Cube;Attain GTC SL Road Bike 2021;1999;Road;8.02kg (medium);"58cm (22.75""), 56cm (22""), 60cm (23.5""), 62cm (24.5""), 53.5cm (21"")";Shimano Ultegra RD-R8000-DGS, 11-Speed;22 Speed;"CUBE CSL Race Disc, Full Carbon, Flat Mount, 1 1/8"" - 1 1/4"" Tapered, 12x100mm";Shimano 105 BR-R7070, Hydr. Disc Brake, Flat Mount (160/160)
Vitus;Vitesse EVO CR Road Bike (105) 2021;1999,99;Road;------;XL, M, L, S, XS, XXL;Shimano 105 R7000 Rd-r7000-gs, 11 Speed, Long Cage, Shadow;11 Speed;Vitesse Evo Carbon SL UD Carbon, UCI Approved, Tapered Steerer, 100 X 12mm, Flat Mount, Size Specific;Shimano 105 R7000 Disc St-r7020, Hydraulic Disc, Flat Mount
Vitus;Zenium CRS Road Bike (Ultegra) 2021;1999,99;Road;8.8kg;L, S, XL, XXL, XS, M;Shimano Ultegra R8000 RD-R8000, 11 Speed, Long Cage;11 Speed;Zenium Carbon UD Carbon, Tapered Carbon Steerer, Flat Mount, 12 x 100mm Axle;Shimano Ultegra R8000 ST-R8070-R, Flat Mount, Hydraulic
Kona;Sutra LTD Adventure Road Bike 2021;2059;Road;7.8kg;"48cm (19""), 50cm (19.5""), 56cm (22"")";SRAM Rival 1, 11-Speed;11 Speed;Kona Project Two Chromoly Disc Touring fork;SRAM Centerline 160mm
De Rosa;King XS Ultegra Road Bike 2018;2374,99;Road;;"49cm (19.25"")";Shimano Ultegra RD-R8000 SS;22 Speed;De Rosa King XS;De Rosa Tektro Direct Mount
Kona;Sultra ULTD Adventure Road Bike 2021;2399;Road;------;"48cm (19""), 50cm (19.5""), 52cm (20.5"")";SRAM Rival 1;11 Speed;Kona Project Two Cromoly Disc Touring Fork;SRAM Centerline 160mm
Cube;Agree C:62 Race Road Bike 2021;2499;Road;------;"60cm (23.5""), 53.5cm (21""), 62cm (24.5""), 56cm (22""), 50cm (19.5""), 58cm (22.75"")";Shimano Ultegra RD-R8000-DGS, 11-Speed;22 Speed;"CUBE CSL Evo Aero C:62 Technology, 1 1/8"" / 1 1/4"" Tapered, Flat Mount, 12x100mm";Shimano Ultegra BR-R8070, Hydr. Disc Brake, Flat Mount (160/160)
Cinelli;King Zydeco GRX Gravel Bike 2021;2849;Road;------;L, M, S, XL;Shimano GRX, 11-Speed;11 Speed;Columbus Future Cross Carbon Fibre;Shimano GRX Hydraulic, 160mm rotors
De Rosa;Idol Racing 500 Disc (Ultegra) 2020;2959;Road;8.3 kg;"48cm (19"")";------;22 Speed;------;Shimano Ultegra hydraulic disc
Felt;VR2 DI2 Road Bike 2019;2999;Road;------;"54cm (21"")";Shimano Ultegra R8050 Di2 11-Speed long cage;22 Speed;Felt Variable Road UHC Advanced + TeXtreme carbon fiber monocoque construction, size specific ControlTaper Carbon Fibre steerer tube, integrated crown race, crown, blades, flat mount disc standard, 12 x 100mm thru axle;"Shimano R8070 hydraulic disc; Rotors: Front 160mm; Rear: 140mm"
Vitus;Vitesse EVO CRS Road Bike (Ultegra) 2021;2999,99;Road;------;M, XS, S, XL, L, XXL;Shimano Ultegra R8000 RD-R8000-GS, 11 Speed, Long Cage, Shadow;11 Speed;Vitesse EVO Carbon SL UD Carbon, UCI Approved, Tapered Steerer, 100 x 12mm, Flat Mount, Size Specific;Shimano Ultegra R8000 Disc ST-R8020, Hydraulic Disc, Flat Mount
Vitus;Zenium CRS Di2 Road Bike (Ultegra Di2) 2021;2999,99;Road;------;XL, XXL, M, L, XS, S;Shimano Ultegra R8000 RD-R8050, 11 Speed, Long Cage;11 Speed;Zenium Carbon UD Carbon, Tapered Carbon Steerer, Flat Mount, 12 x 100mm Axle;Shimano Ultegra R8000 ST-R8070-R, Flat Mount, Hydraulic
Cube;Agree C:62 SL Road Bike 2021;3399;Road;7.9kg;"53.5cm (21""), 62cm (24.5""), 58cm (22.75""), 60cm (23.5""), 56cm (22"")";Shimano Ultegra Di2 RD-8050-DGS, 11-Speed;22 Speed;"CUBE CSL Evo Aero C:62 Technology, 1 1/8"" / 1 1/4"" Tapered, Flat Mount, 12x100mm";Shimano Ultegra BR-R8070, Hydr. Disc Brake, Flat Mount (160/160)
Vitus;Vitesse EVO CRX eTap Road Bike (Red) 2020;3499,99;Road;7.65kg;XXL;SRAM RED eTap AXS D1 RD, 12-Speed, with Battery;24 Speed;Integrated UD Carbon Full Carbon tapered steerer, 100 x 12mm;SRAM RED eTap AXS D1 Hydraulic Flat Mount
De Rosa;Idol Racing 500 Disc (Ultegra Di2) 2020;3519;Road;;"48cm (19""), 46cm (18"")";------;22 Speed;------;Shimano Ultegra hydraulic disc
Kona;Libre CR DL Adventure Road Bike 2021;3699;Road;8.2 kg;"52cm (20.5""), 56cm (22"")";SRAM Rival 1;11 Speed;Kona Verso Full Carbon Flat Mount Disc;SRAM Centerline 160mm
Vitus;Vitesse EVO CRS Di2 Road Bike (Ultegra) 2021;3699,99;Road;7.72kg (medium);S, M, XL, XXL, XS, L;Shimano Ultegra R8000 RD-R8050-GS, 11 Speed, Long Cage, Shadow;11 Speed;Vitesse EVO Carbon SL UD Carbon, UCI Approved, Tapered Steerer, 100 x 12mm, Flat Mount, Size Specific;Shimano Ultegra R8000 Disc ST-R8070, Hydraulic Disc, Flat Mount
Vitus;Vitesse EVO CRS eTap AXS Road Bike 2021;3749,99;Road;------;L, XS, XXL, XL, M, S;SRAM FORCE eTap AXS 12 Speed, Short Cage,;12 Speed;Vitesse EVO Carbon SL UD Carbon, UCI Approved, Tapered Steerer, 100 x 12mm, Flat Mount, Size Specific;SRAM FORCE eTap AXS D1 Hydraulic Disc, Flat Mount Disc
Colnago;V3 Disc Ultegra Road Bike 2020;3899;Road;------;"52cm (20.5"")";------;22 Speed;Carbon Fibre;Shimano Ultegra hydraulic disc
Cube;Litening C:68X Pro Road Bike 2021;3999;Road;7.5kg;"52cm (20.5""), 56cm (22""), 54cm (21""), 58cm (22.75""), 50cm (19.5""), 60cm (23.5"")";Shimano Ultegra Di2 RD-8050-DGS, 11-Speed;22 Speed;Litening C: 68X Aero, Integrated Cable Routing, Flat Mount Disc;Shimano Ultegra BR-R8070, Hydr. Disc Brake, Flat Mount (160/160)
Cube;Litening C:68X Race Road Bike 2021;4499;Road;7.6kg;"58cm (22.75""), 54cm (21""), 56cm (22""), 52cm (20.5"")";SRAM Force eTap AXS, 12-Speed;24 Speed;------;SRAM Force eTap AXS (160/160)
Orro;Venturi STC Force eTap Airbeat Road Bike 2021;4599,99;Road;------;XL, M, L, S;SRAM Force AXS;12 Speed Double;Orro Venturi STC, tapered steerer, flatmount, thru axle;------
Vitus;Vitesse EVO CRX eTap AXS Road Bike (Red) 2021;4799,99;Road;7.8 kg;L, S, M, XL, XS, XXL;SRAM RED eTap AXS 12 Speed, Short Cage;12 Speed;Vitesse EVO Carbon SL UD Carbon, UCI Approved, Tpered Steerer, 100 x 12mm, Flat Mount, Size Specific;SRAM RED eTap AXS D1 Disc Hydraulic Disc, Flat Mount
